team_id_norm,team_matches_real,club_name_raw,team_name_raw
17122632,2,C.D. PUERTA DE MADRID,C.D. PUERTA DE MADRID
25036346,2,E.D.M. SAN BLAS, E.D.M. SAN BLAS 'C'
10654942,2,ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ,ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ
21430672,1,A.C.R. ATLETICO ALCOBENDAS,A.C.R. ATLETICO ALCOBENDAS
13450043,1,A.D. ESCUELA DE FUTBOL DE CARABANCHEL,A.D. ESCUELA DE FUTBOL DE CARABANCHEL 'C'
10358763,1,A.D.C. SAN FERMIN,A.D.C. SAN FERMIN
14904179,1,AD A.TOLEDO OLIVOS C.F.,AD A.TOLEDO OLIVOS C.F.
15277454,1,ALCOBENDAS C.F.,ALCOBENDAS C.F. 'A'
14107188,1,ATLETICO CHOPERA ALCOBENDAS 04,ATLETICO CHOPERA ALCOBENDAS 04 'A'
14107227,1,ATLETICO CHOPERA ALCOBENDAS 04,ATLETICO CHOPERA ALCOBENDAS 04 'B'
12467526,1,C.D. AVANCE,C.D. AVANCE
10652279,1,C.D. BETIS SAN ISIDRO,C.D. BETIS SAN ISIDRO
10400959,1,C.D. ESTUDIANTES LAS TABLAS,C.D. ESTUDIANTES LAS TABLAS 'A'
10334060,1,C.D. FUTBOL TRES CANTOS,C.D. FUTBOL TRES CANTOS
13413677,1,C.D. MOSTOLES U.R.J.C.,C.D. MOSTOLES U.R.J.C. 'A'
10333361,1,C.D. NUEVO BOADILLA,C.D. NUEVO BOADILLA 'A'
10333364,1,C.D. NUEVO BOADILLA,C.D. NUEVO BOADILLA 'B'
10333365,1,C.D. NUEVO BOADILLA,C.D. NUEVO BOADILLA 'C'
11967547,1,C.D. NUEVO BOADILLA,C.D. NUEVO BOADILLA 'D'
13554827,1,C.D. OLIMPICO LAS ROSAS,C.D. OLIMPICO LAS ROSAS
13727718,1,C.D. SAN CRISTOBAL DE LOS ANGELES,C.D. SAN CRISTOBAL DE LOS ANGELES 'A'
16497070,1,C.D. SAN CRISTOBAL DE LOS ANGELES,C.D. SAN CRISTOBAL DE LOS ANGELES 'B'
13691796,1,C.D. SAN FERNANDO,C.D. SAN FERNANDO
22934637,1,C.D. SANTIAGO APOSTOL VILLAVERDE,C.D. SANTIAGO APOSTOL VILLAVERDE
21416890,1,C.D. UNION VALDEBERNARDO,C.D. UNION VALDEBERNARDO
10667395,1,C.D. VICALVARO,C.D. VICALVARO 'A'
20782664,1,C.D. VICALVARO,C.D. VICALVARO 'B'
20808234,1,C.D. VICALVARO,C.D. VICALVARO 'C'
13551224,1,C.D.E. ACADEMIA DE FUTBOL ALCOBENDAS,C.D.E. ACADEMIA DE FUTBOL ALCOBENDAS 'C'
24020855,1,C.D.E. AUPA - MENTEMA BOADILLA,C.D.E. AUPA - MENTEMA BOADILLA 'A'
12234122,1,C.D.E. AUPA - MENTEMA BOADILLA,C.D.E. AUPA - MENTEMA BOADILLA 'B'
24026806,1,C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA,C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA
10652016,1,C.F. INTER DE VALDEMORO,C.F. INTER DE VALDEMORO
21409829,1,C.F. RAYO ENSANCHE,C.F. RAYO ENSANCHE
21592743,1,CDB UNION DEPORTIVA ARGANZUELA,CDB UNION DEPORTIVA ARGANZUELA 'A'
22092088,1,CDE ACADEMIA FENIX,CDE ACADEMIA FENIX
21420654,1,CDE TONI KROOS ACADEMY,CDE TONI KROOS ACADEMY
11362487,1,CLUB SECCION DEPORTIVA DEL POZO,CLUB SECCION DEPORTIVA DEL POZO 'A'
21430710,1,CLUB SECCION DEPORTIVA DEL POZO,CLUB SECCION DEPORTIVA DEL POZO 'B'
10339297,1,E.D. MORATALAZ,E.D. MORATALAZ 'A'
10339298,1,E.D. MORATALAZ,E.D. MORATALAZ 'B'
13413109,1,E.F.M.O. BOADILLA,E.F.M.O. BOADILLA 'A'
13413110,1,E.F.M.O. BOADILLA,E.F.M.O. BOADILLA 'B'
12521879,1,EE PP SAN FERNANDO ESCOLAPIOS POZUELO,EE PP SAN FERNANDO ESCOLAPIOS POZUELO 'A'
12521880,1,EE PP SAN FERNANDO ESCOLAPIOS POZUELO,EE PP SAN FERNANDO ESCOLAPIOS POZUELO 'B'
12521881,1,EE PP SAN FERNANDO ESCOLAPIOS POZUELO,EE PP SAN FERNANDO ESCOLAPIOS POZUELO 'C'
11417785,1,ESC.FUT.AT. CASARRUBUELOS,ESC.FUT.AT. CASARRUBUELOS
10333102,1,ESCUELA DE FUTBOL DE BRUNETE,ESCUELA DE FUTBOL DE BRUNETE
10333048,1,ESCUELA DE FUTBOL DE VICALVARO,ESCUELA DE FUTBOL DE VICALVARO 'A'
13550320,1,ESCUELA DE FUTBOL DE VICALVARO,ESCUELA DE FUTBOL DE VICALVARO 'B'
15557909,1,FEPE GETAFE III, FEPE GETAFE III 'C'
10643051,1,FEPE GETAFE III,FEPE GETAFE III 'A'
26059534,1,GREDOS SAN DIEGO MORATALAZ,GREDOS SAN DIEGO MORATALAZ 'C'
10357003,1,GREDOS SAN DIEGO-LAS ARTES,GREDOS SAN DIEGO-LAS ARTES 'A'
11986830,1,GREDOS SAN DIEGO-LAS ARTES,GREDOS SAN DIEGO-LAS ARTES 'B'
26138800,1,JUVENTUD SANSE,JUVENTUD SANSE 'B'
11986840,1,LA MORALEJA C.F. - SAN PATRICIO,LA MORALEJA C.F. - SAN PATRICIO
13562029,1,RAYO CIUDAD ALCOBENDAS C.F.,RAYO CIUDAD ALCOBENDAS C.F. 'A'
24317961,1,S.A.D. FUNDACION C.D. LEGANES,S.A.D. FUNDACION C.D. LEGANES 'B'
10337423,1,S.A.D. FUNDACION RAYO VALLECANO,S.A.D. FUNDACION RAYO VALLECANO 'B'
22007645,1,S.A.D. FUNDACION RAYO VALLECANO,S.A.D. FUNDACION RAYO VALLECANO 'D'
13551806,1,SPORTING SEIS DE DICIEMBRE,SPORTING SEIS DE DICIEMBRE
24329293,1,U.D. SAN SEBASTIAN DE LOS REYES S.A.D.,U.D. SAN SEBASTIAN DE LOS REYES S.A.D. 'A'
15276346,1,UDMELIDAOLIMPIA,UDMELIDAOLIMPIA
10408479,1,VALLECAS C.F.,VALLECAS C.F.
